INDICATIVO;NOMBRE;ALTITUD;C_X;C_Y;NOM_PROV;LONGITUD;LATITUD; Año ;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media
Insolación total mensual (décimas de hora);;;;;;;;;;;;;;;;;;;;;
4358X;DON BENITO;273;250389;4315793;BADAJOZ;0552502;385720;2022;2362;1897;1542;2397;3165;2999;3504;3320;2654;2041;1568;1223;2389
4386B;LLERENA;655;235927;4235826;BADAJOZ;0601012;381354;2022;2390;2077;1356;2255;3422;3397;4042;3463;2713;2077;1694;1402;2524
4452;BADAJOZ/TALAVERA LA REAL;185;169155;4310751;BADAJOZ;0648502;385300;2022;2096;1876;1578;2666;3363;3320;4129;3763;2723;2086;1341;1169;2509
4511C;JEREZ DE LOS CABALLEROS;381;170732;4245660;BADAJOZ;0645542;381755;2022;2480;2085;1522;2591;3271;3349;4115;3630;2581;2128;1654;1218;2552
4642E;HUELVA, RONDA ESTE;18;153156;4132930;HUELVA;0654422;371642;2022;2563;2309;1970;3024;3612;3806;3915;3409;2834;2276;1966;1713;2783
5000C;CEUTA;87;288160;3974139;CEUTA;0520492;355319;2022;1305;1660;1295;2609;3225;3429;2986;2744;2561;1509;1737;1289;2196
5047E;BAZA, CRUZ ROJA;785;523422;4151022;GRANADA;0244062;373021;2022;1703;1616;996;1890;3142;3287;;;;;;;
5192;VILLARRODRIGO;862;531614;4260154;JAEN;0238152;382921;2022;;1776;1030;1964;3255;2802;3607;3433;2593;1894;1155;925;
5246;SANTA ELENA;770;453225;4244169;JAEN;0332072;382040;2022;2106;1965;1137;1974;2745;2771;;;;;;;
5270B;JAÉN;580;428743;4181437;JAEN;0348332;374639;2022;2349;2125;1202;2531;3510;3703;4054;3663;2949;2147;1694;1370;2608
5402;CÓRDOBA/AEROPUERTO;90;337528;4190657;CORDOBA;0450482;375056;2022;2495;2327;1817;2859;3636;3915;4182;3875;3318;2622;1997;1826;2906
5514;GRANADA/BASE AÉREA;687;443922;4110282;GRANADA;0337532;370814;2022;2193;1983;1258;2407;3469;3608;3937;3469;2801;1774;1978;1491;2531
5514Z;GRANADA/BASE AÉREA;695;443749;4110160;GRANADA;0338002;370810;2022;1803;;;;2795;3522;3740;3424;2510;1889;;;
5530E;GRANADA/AEROPUERTO;567;429908;4116273;GRANADA;0347232;371125;2022;2463;2151;1459;2441;3613;3770;4009;3590;3051;2127;2009;1563;2687
5783;SEVILLA/SAN PABLO;34;245199;4144990;SEVILLA;0552452;372500;2022;2449;2215;1532;2623;3426;3648;3862;3532;3048;2158;1754;1410;2638
5796;MORÓN DE LA FRONTERA;87;268128;4116310;SEVILLA;0536412;370952;2022;2359;2238;1173;2717;3412;3620;3819;3470;2797;2031;1876;1645;2596
5910;ROTA B.N.OBSERVATORIO';21;202042;4059991;CADIZ;0619572;363820;2022;2298;2042;1675;2868;3553;3693;3807;3192;2894;2077;1884;1645;2636
5960;JEREZ DE LA FRONTERA/AEROPUERTO;27;227181;4071559;CADIZ;0603212;364502;2022;2184;2061;1577;2458;3393;3473;3850;3389;2796;2131;1806;1322;2537
6000A;MELILLA;52;503966;3903695;MELILLA;0257232;351635;2022;2373;1714;1486;2399;2839;3172;3013;2640;2369;1953;2142;1785;2324
6058I;ESTEPONA;19;306789;4032354;MALAGA;0509182;362501;2022;627;1450;1351;2509;2592;2286;;;;;;;
6155A;MÁLAGA/AEROPUERTO;6;367539;4058858;MALAGA;0428562;363958;2022;1613;1654;1259;2478;3433;3504;3537;3324;2778;1868;1944;1449;2403
6293X;ROQUETAS DE MAR, FARO SABINAR;3;526653;4060187;ALMERIA;0242062;364113;2022;;;1232;2508;3498;3034;1971;538;;;;;
6325O;ALMERÍA/AEROPUERTO;21;557332;4078025;ALMERIA;0221252;365047;2022;2101;2014;1429;2420;3438;3446;3743;3429;2606;2207;2062;1698;2549
7002Y;ÁGUILAS;26;625041;4142095;MURCIA;0135132;372502;2022;2054;1989;1152;2284;3487;3547;3722;3488;2660;2285;2132;1764;2547
7031;MURCIA/SAN JAVIER;4;693425;4184666;MURCIA;0048122;374720;2022;2065;1910;1004;2254;3414;3198;3686;3471;2256;1932;2096;1632;2410
7031X;MURCIA/SAN JAVIER II;4;693232;4183489;MURCIA;0048212;374642;2022;2134;2025;1238;2468;3683;3752;3753;3575;2714;2128;2184;1691;2612
7119B;CARAVACA,FUENTES DEL MARQUÉS;643;598441;4217783;MURCIA;0152382;380609;2022;1692;1813;610;2286;3478;3363;3621;3173;2284;1811;1430;1066;2219
7178I;MURCIA;62;660598;4207610;MURCIA;0110152;380007;2022;1969;2042;1010;2433;3555;3829;3894;3555;2749;2293;2075;1645;2587
7228;MURCIA/ALCANTARILLA;75;655618;4202611;MURCIA;0113432;375728;2022;1902;2016;775;2209;3408;3577;3667;3404;2367;1978;2021;1579;2409
7275C;YECLA;640;660249;4274181;MURCIA;0109352;383606;2022;2182;2040;1003;2335;3339;3374;3260;3406;2530;2165;2093;1504;2436
8019;ALICANTE-ELCHE/AEROPUERTO;43;712468;4239983;ALICANTE;0034152;381658;2022;2087;2000;1239;2476;3696;3822;3867;3632;2601;2375;2062;1596;2621
8025;ALICANTE;81;718904;4250120;ALICANTE;0029392;382221;2022;2214;2089;1293;2460;3515;3772;3791;3645;2645;2496;2058;1660;2636
8050X;JÁVEA, AYUNTAMIENTO;15;775167;4297534;ALICANTE;0010041;384701;2022;1921;1941;911;2162;;3593;3577;3145;2439;1400;1681;1372;
