INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
6293X;ROQUETAS DE MAR, FARO SABINAR;ALMERIA;ROQUETAS DE MAR;3;364113;0242062;526653;4060187;ETRS89;08492;01/07/2009;
6325O;ALMERÕA/AEROPUERTO;ALMERIA;ALMERÕA;21;365047;0221252;557332;4078025;ETRS89;08487;01/01/1968;
7002Y;¡GUILAS;MURCIA;¡GUILAS;26;372502;0135132;625041;4142095;ETRS89;08432;01/01/2009;
7031;MURCIA/SAN JAVIER;MURCIA;SAN JAVIER;4;374720;0048122;693425;4184666;ETRS89;08433;01/08/1944;
7031X;MURCIA/SAN JAVIER II;MURCIA;SAN JAVIER;4;374642;0048212;693232;4183489;ETRS89;08433;01/01/2011;
7119B;CARAVACA,FUENTES DEL MARQU…S;MURCIA;CARAVACA DE LA CRUZ;643;380609;0152382;598441;4217783;ETRS89;08365;01/01/2009;
7178I;MURCIA;MURCIA;MURCIA;62;380007;0110152;660598;4207610;ETRS89;08430;01/04/1984;
7228;MURCIA/ALCANTARILLA;MURCIA;MURCIA;75;375728;0113432;655618;4202611;ETRS89;08429;01/01/1940;
7275C;YECLA;MURCIA;YECLA;640;383606;0109352;660249;4274181;ETRS89;08356;01/01/2009;
8019;ALICANTE-ELCHE/AEROPUERTO;ALICANTE;ELCHE/ELX;43;381658;0034152;712468;4239983;ETRS89;08360;01/01/1967;
8025;ALICANTE;ALICANTE;ALICANTE/ALACANT;81;382221;0029392;718904;4250120;ETRS89;08359;01/09/1938;
8050X;J¡VEA, AYUNTAMIENTO;ALICANTE;J¡VEA/X¿BIA;15;384701;0010041;775167;4297534;ETRS89;08370;01/03/1997;
8096;CUENCA;CUENCA;CUENCA;949;400402;0207552;574025;4435579;ETRS89;08231;01/01/1951;
8175;ALBACETE/LOS LLANOS;ALBACETE;ALBACETE;702;385715;0151232;599093;4312313;ETRS89;08280;01/12/1939;
8178D;ALBACETE,OBS.;ALBACETE;ALBACETE;674;390021;0151462;598467;4318039;ETRS89;08279;01/01/1983;
8283;ONTINYENT;VALENCIA;ONTINYENT;350;384946;0036282;707656;4300570;ETRS89;;01/01/1900;
8293X;X¿TIVA;VALENCIA;X¿TIVA;88;390006;0031252;714444;4319880;ETRS89;08290;01/04/1990;
8309X;UTIEL, LA CUBERA;VALENCIA;UTIEL;758;393432;0114412;650758;4382122;ETRS89;08281;01/01/1991;
8368U;TERUEL;TERUEL;TERUEL;902;402102;0107272;659303;4468356;ETRS89;08235;01/04/1986;
8414A;VALENCIA/AEROPUERTO;VALENCIA;MANISES;56;392906;0028292;717181;4373646;ETRS89;08284;01/01/1965;
8416;VALENCIA;VALENCIA;VAL»NCIA;11;392850;0021592;726514;4373419;ETRS89;08285;01/11/1937;
8489X;VILLAFRANCA;CASTELLON;VILLAFRANCA DEL CID/VILAFRANCA;1131;402600;0015212;732768;4479473;ETRS89;08241;01/01/2009;
8497B;ALCORA (LA LLOMA);CASTELLON;L'ALCORA;260;400350;0012512;737592;4438569;ETRS89;;01/04/1987;
8500A;CASTELL”N-ALMASSORA;CASTELLON;ALMASSORA;43;395726;0004192;750113;4427117;ETRS89;08286;01/01/1976;
8508U;BENICARLO SAN GREGORIO;CASTELLON;BENICARL”;25;402521;0023511;788242;4480200;ETRS89;;01/06/1981;
9051;MEDINA DE POMAR;BURGOS;MEDINA DE POMAR;580;425512;0328582;460599;4752044;ETRS89;08063;01/05/1914;
9091O;FORONDA-TXOKIZA;ARABA/ALAVA;VITORIA-GASTEIZ;513;425255;0244062;521641;4747739;ETRS89;08080;01/03/1973;
9091R;VITORIA-GASTEIZ AEROPUERTO;ARABA/ALAVA;VITORIA-GASTEIZ;513;425219;0243582;521826;4746629;ETRS89;08080;01/04/2000;
9170;LOGRO—O, AEROPUERTO;LA RIOJA;AGONCILLO;353;422708;0219522;555002;4700205;ETRS89;08084;01/01/1948;
9208E;ARAG‹…S DEL PUERTO, DEP”SITO;HUESCA;ARAG‹…S DEL PUERTO;1025;424231;0040222;690586;4731085;ETRS89;08095;01/02/2006;
9263D;PAMPLONA, AEROPUERTO;NAVARRA;GALAR;459;424637;0139002;610434;4736929;ETRS89;08085;01/01/1975;
9381I;CALAMOCHA;TERUEL;CALAMOCHA;884;405534;0117362;643697;4531958;ETRS89;08233;01/08/1992;
9390;DAROCA;ZARAGOZA;DAROCA;779;410652;0124362;633492;4552680;ETRS89;08157;01/01/1909;
9394X;CALATAYUD, DEP”SITO;ZARAGOZA;CALATAYUD;582;411952;0138432;613364;4576400;ETRS89;08156;01/04/1993;
9434;ZARAGOZA, AEROPUERTO;ZARAGOZA;ZARAGOZA;249;413938;0100152;666170;4614014;ETRS89;08160;01/01/1941;
9434P;ZARAGOZA, VALDESPARTERA;ZARAGOZA;ZARAGOZA;258;413716;0056052;672057;4609771;ETRS89;08159;01/10/2012;
9569A;CALANDA;TERUEL;CALANDA;466;405648;0014162;732507;4536513;ETRS89;08166;01/04/1990;
9574B;CASPE, PLANA DEL PIL”N;ZARAGOZA;CASPE;215;411433;0004072;745643;4569824;ETRS89;08165;01/06/2018;
9585;LA MOLINA;GIRONA;ALP;1699;421957;0156221;906984;4698529;ETRS89;08117;01/04/1927;
9771C;LLEIDA;LLEIDA;LLEIDA;186;413734;0035531;799744;4614524;ETRS89;08171;01/02/1983;
9784P;BIELSA;HUESCA;BIELSA;992;423748;0013291;764425;4724773;ETRS89;08103;01/01/2006;
9898;HUESCA, AEROPUERTO;HUESCA;ALCAL¡ DEL OBISPO;546;420504;0019322;721206;4662615;ETRS89;08094;01/03/1943;
9981A;TORTOSA;TARRAGONA;ROQUETES;50;404913;0029361;794618;4524684;ETRS89;08238;01/01/1904;
